Date,inr_buy,inr_sell,usd_buy,usd_sell,eur_buy,eur_sell,gbp_buy,gbp_sell,chf_buy,chf_sell,aud_buy,aud_sell,cad_buy,cad_sell,sgd_buy,sgd_sell,jpy_buy,jpy_sell,cny_buy,cny_sell,sar_buy,sar_sell,qar_buy,qar_sell,thb_buy,thb_sell,aed_buy,aed_sell,myr_buy,myr_sell,krw_buy,krw_sell,sek_buy,sek_sell,dkk_buy,dkk_sell,hkd_buy,hkd_sell,kwd_buy,kwd_sell,bhd_buy,bhd_sell,omr_buy,omr_sell
2020-03-10,160.00,160.15,118.24,118.84,135.00,135.68,154.55,155.34,127.51,128.16,78.01,78.40,86.63,87.07,85.46,85.90,11.56,11.62,17.01,17.10,31.50,31.66,32.48,32.64,3.75,3.77,32.19,32.35,28.04,28.19,9.85,9.90,12.61,12.67,18.07,18.16,15.22,15.29,387.62,389.59,313.94,315.53,,
2020-03-11,160.00,160.15,118.30,118.90,134.42,135.11,154.23,155.01,126.89,127.53,77.65,78.05,86.65,87.09,85.06,85.49,11.30,11.36,17.00,17.09,31.51,31.67,32.48,32.65,3.76,3.78,32.21,32.37,27.92,28.06,9.91,9.96,12.50,12.56,17.99,18.08,15.22,15.30,386.73,388.69,313.63,315.22,,
2020-03-12,160.00,160.15,117.52,118.12,133.23,133.91,151.80,152.57,125.73,126.37,76.72,77.11,85.72,86.15,84.61,85.05,11.21,11.27,16.91,17.00,31.31,31.47,32.27,32.43,3.74,3.76,31.99,32.16,27.77,27.91,9.87,9.92,12.42,12.48,17.83,17.92,15.13,15.20,383.54,385.50,311.59,313.18,,
2020-03-13,160.00,160.15,118.44,119.04,132.86,133.53,150.74,151.51,125.96,126.60,75.63,76.02,85.73,86.16,84.38,84.81,11.42,11.47,16.92,17.00,31.56,31.72,32.52,32.69,3.75,3.77,32.25,32.41,27.77,27.91,9.81,9.86,12.23,12.29,17.78,17.87,15.23,15.31,385.94,387.89,314.47,316.06,,
2020-03-14,160.00,160.15,117.98,118.58,131.80,132.47,148.16,148.91,124.60,125.23,74.34,74.72,85.44,85.87,83.69,84.11,11.08,11.14,16.89,16.98,31.43,31.59,32.40,32.56,3.71,3.73,32.12,32.28,27.58,27.72,9.76,9.81,12.13,12.19,17.64,17.72,15.19,15.26,383.43,385.38,312.49,314.08,,
2020-03-15,160.00,160.15,117.98,118.58,131.80,132.47,148.16,148.91,124.60,125.23,74.34,74.72,85.44,85.87,83.69,84.11,11.08,11.14,16.89,16.98,31.43,31.59,32.40,32.56,3.71,3.73,32.12,32.28,27.58,27.72,9.76,9.81,12.13,12.19,17.64,17.72,15.19,15.26,383.43,385.38,312.49,314.08,,
2020-03-16,160.00,160.15,117.71,118.31,130.73,131.40,144.43,145.17,123.92,124.55,72.79,73.16,85.29,85.72,83.18,83.60,10.91,10.96,16.79,16.88,31.36,31.52,32.33,32.49,3.70,3.72,32.05,32.21,27.51,27.65,9.71,9.76,12.12,12.18,17.49,17.58,15.15,15.23,381.49,383.43,312.14,313.73,,
2020-03-17,160.00,160.15,118.54,119.14,132.31,132.98,145.65,146.38,125.46,126.10,73.05,73.42,85.17,85.60,83.36,83.79,11.18,11.24,16.91,16.99,31.58,31.74,32.56,32.72,3.69,3.70,32.27,32.44,27.51,27.65,9.65,9.69,12.21,12.27,17.70,17.79,15.26,15.33,383.74,385.68,313.79,315.38,,
2020-03-18,160.00,160.15,118.49,119.09,130.61,131.28,143.64,144.36,123.77,124.40,71.27,71.63,83.86,84.28,82.95,83.37,11.08,11.14,16.88,16.96,31.58,31.74,32.39,32.56,3.67,3.68,32.26,32.42,27.24,27.37,9.54,9.59,11.92,11.98,17.48,17.57,15.26,15.33,382.66,384.60,313.80,315.39,,
2020-03-19,160.00,160.15,118.51,119.11,130.08,130.74,141.17,141.89,123.31,123.93,70.28,70.63,82.78,83.20,82.38,82.80,11.03,11.08,16.88,16.96,31.57,31.73,32.35,32.52,3.65,3.67,32.27,32.43,27.11,27.25,9.40,9.45,11.85,11.91,17.41,17.50,15.26,15.34,382.11,384.05,313.86,315.44,,
2020-03-20,160.00,160.15,119.68,120.28,128.70,129.34,138.18,138.87,122.11,122.72,68.51,68.86,82.21,82.62,82.31,82.72,10.89,10.95,16.81,16.89,31.82,31.98,32.69,32.85,3.67,3.68,32.58,32.74,27.11,27.24,9.34,9.38,11.50,11.56,17.22,17.31,15.42,15.49,384.13,386.06,316.94,318.53,,
2020-03-21,160.00,160.15,120.08,120.68,128.59,129.23,141.07,141.78,122.04,122.65,70.86,71.21,83.78,84.19,82.96,83.37,10.90,10.95,16.97,17.05,31.95,32.11,32.98,33.14,3.68,3.70,32.69,32.85,27.32,27.46,9.65,9.69,11.60,11.66,17.21,17.29,15.48,15.56,385.66,387.59,318.00,319.59,,
2020-03-22,160.00,160.15,120.08,120.68,128.59,129.23,141.07,141.78,122.04,122.65,70.86,71.21,83.78,84.19,82.96,83.37,10.90,10.95,16.97,17.05,31.95,32.11,32.98,33.14,3.68,3.70,32.69,32.85,27.32,27.46,9.65,9.69,11.60,11.66,17.21,17.29,15.48,15.56,385.66,387.59,318.00,319.59,,
2020-03-23,160.00,160.15,120.00,120.60,128.34,128.99,139.93,140.63,121.63,122.24,69.59,69.94,83.54,83.95,82.78,83.20,10.83,10.88,16.91,17.00,31.93,32.09,32.95,33.12,3.67,3.69,32.67,32.83,27.08,27.22,9.56,9.61,11.56,11.62,17.19,17.27,15.47,15.55,385.49,387.42,318.23,319.82,,
2020-03-24,160.00,160.15,121.74,122.34,129.93,130.57,140.11,140.80,123.16,123.76,69.76,70.11,84.10,84.52,83.15,83.56,10.99,11.04,17.10,17.18,32.43,32.58,33.16,33.33,3.69,3.71,33.14,33.31,27.39,27.52,9.57,9.62,11.65,11.71,17.40,17.48,15.70,15.77,389.63,391.55,322.28,323.86,,
2020-03-25,160.00,160.15,121.23,121.83,131.65,132.31,142.47,143.18,124.29,124.90,71.69,72.05,83.90,84.32,83.73,84.15,10.94,11.00,17.17,17.26,32.27,32.43,33.29,33.45,3.70,3.72,33.01,33.17,27.36,27.50,9.77,9.82,11.89,11.95,17.63,17.72,15.63,15.71,387.68,389.60,320.67,322.25,,
2020-03-26,160.00,160.15,121.12,121.72,131.27,131.92,144.72,145.44,123.74,124.35,73.12,73.49,84.33,84.75,83.79,84.21,10.88,10.93,17.07,17.15,32.25,32.41,32.93,33.10,3.69,3.71,32.97,33.14,27.62,27.76,9.81,9.86,12.04,12.10,17.58,17.67,15.62,15.70,384.25,386.15,320.16,321.74,,
2020-03-27,160.00,160.15,119.95,120.55,131.53,132.19,143.62,144.34,123.64,124.26,72.11,72.47,84.86,85.28,83.43,83.85,10.93,10.99,16.94,17.03,31.94,32.10,32.94,33.11,3.67,3.69,32.66,32.82,27.67,27.81,9.84,9.89,11.95,12.01,17.62,17.70,15.47,15.55,391.16,393.11,318.12,319.71,,
2020-03-28,160.00,160.15,119.48,120.08,131.56,132.22,146.01,146.74,124.23,124.85,72.53,72.90,84.86,85.29,83.35,83.77,10.99,11.05,16.85,16.94,31.81,31.96,32.81,32.98,3.67,3.69,32.53,32.69,27.60,27.73,9.79,9.84,11.96,12.02,17.63,17.72,15.41,15.49,386.65,388.60,317.16,318.76,,
2020-03-29,160.00,160.15,119.48,120.08,131.56,132.22,146.01,146.74,124.23,124.85,72.53,72.90,84.86,85.29,83.35,83.77,10.99,11.05,16.85,16.94,31.81,31.96,32.81,32.98,3.67,3.69,32.53,32.69,27.60,27.73,9.79,9.84,11.96,12.02,17.63,17.72,15.41,15.49,386.65,388.60,317.16,318.76,,
